Sec,RPM
1132.8,858.3
1133.4,858.3
1134,788.5
1134.6,31.7
1135.2,0
1135.8,0
1137,0
1137.6,0
1138.2,0
1138.8,0
1140,0
1140.6,0
1141.2,26.8
1141.8,3047.6
1142.4,3047.6
1143,506.5
1144.2,3153.9
1144.8,3152.4
1146.6,2416.7
1147.2,1614.3
1147.8,1614.3
1148.4,1616.8
1149,904
1149.6,0
1150.2,0
1151.2,0
1152.2,0
1153.2,0
1154.2,1610.3
1155.2,1610.3
1156.2,1610.3
1157.2,1610.3
